ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-30T10:56:00.000000000Z,33,1,13804,4200.000000000,4200.000000000,4200.000000000,4200.000000000,2,MESM4
2023-04-04T09:49:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-04-04T11:37:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-04-13T18:08:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-04-13T18:20:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-04-21T18:14:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-04-25T15:43:00.000000000Z,33,1,13804,4265.250000000,4265.250000000,4265.000000000,4265.000000000,2,MESM4
2023-04-25T17:43:00.000000000Z,33,1,13804,4241.750000000,4241.750000000,4241.750000000,4241.750000000,1,MESM4
2023-04-26T18:26:00.000000000Z,33,1,13804,4215.000000000,4215.000000000,4215.000000000,4215.000000000,1,MESM4
2023-04-27T17:18:00.000000000Z,33,1,13804,4265.000000000,4265.000000000,4265.000000000,4265.000000000,1,MESM4
2023-04-27T20:03:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-05-02T14:04:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,1,MESM4
2023-05-17T17:33:00.000000000Z,33,1,13804,4300.000000000,4300.000000000,4300.000000000,4300.000000000,2,MESM4
2023-05-18T19:51:00.000000000Z,33,1,13804,4358.000000000,4358.000000000,4358.000000000,4358.000000000,2,MESM4
2023-05-28T22:10:00.000000000Z,33,1,13804,4390.000000000,4390.000000000,4390.000000000,4390.000000000,2,MESM4
2023-05-30T12:07:00.000000000Z,33,1,13804,4400.000000000,4400.000000000,4400.000000000,4400.000000000,3,MESM4
2023-06-02T08:13:00.000000000Z,33,1,13804,4398.500000000,4398.500000000,4398.500000000,4398.500000000,1,MESM4
2023-06-09T13:51:00.000000000Z,33,1,13804,4490.000000000,4490.000000000,4490.000000000,4490.000000000,1,MESM4
2023-06-09T14:28:00.000000000Z,33,1,13804,4495.000000000,4495.000000000,4495.000000000,4495.000000000,1,MESM4
2023-06-09T19:54:00.000000000Z,33,1,13804,4485.000000000,4485.000000000,4485.000000000,4485.000000000,1,MESM4
2023-06-12T18:48:00.000000000Z,33,1,13804,4500.000000000,4500.000000000,4500.000000000,4500.000000000,3,MESM4
2023-06-12T18:49:00.000000000Z,33,1,13804,4500.000000000,4500.000000000,4500.000000000,4500.000000000,2,MESM4
2023-06-12T19:11:00.000000000Z,33,1,13804,4510.000000000,4510.000000000,4510.000000000,4510.000000000,1,MESM4
2023-06-12T19:12:00.000000000Z,33,1,13804,4516.250000000,4516.250000000,4516.250000000,4516.250000000,1,MESM4
2023-06-13T05:32:00.000000000Z,33,1,13804,4530.000000000,4530.000000000,4530.000000000,4530.000000000,2,MESM4
2023-06-15T13:39:00.000000000Z,33,1,13804,4550.000000000,4550.000000000,4550.000000000,4550.000000000,2,MESM4
2023-06-15T17:30:00.000000000Z,33,1,13804,4592.750000000,4592.750000000,4592.750000000,4592.750000000,1,MESM4
2023-06-19T01:54:00.000000000Z,33,1,13804,4585.750000000,4585.750000000,4585.750000000,4585.750000000,1,MESM4
2023-06-19T14:59:00.000000000Z,33,1,13804,4585.750000000,4585.750000000,4585.750000000,4585.750000000,1,MESM4
2023-06-21T18:34:00.000000000Z,33,1,13804,4570.000000000,4570.000000000,4570.000000000,4570.000000000,1,MESM4
2023-06-27T15:27:00.000000000Z,33,1,13804,4533.750000000,4533.750000000,4533.750000000,4533.750000000,1,MESM4
2023-06-27T16:43:00.000000000Z,33,1,13804,4550.000000000,4550.000000000,4550.000000000,4550.000000000,3,MESM4
2023-06-30T10:10:00.000000000Z,33,1,13804,4601.000000000,4601.000000000,4601.000000000,4601.000000000,1,MESM4
2023-06-30T14:02:00.000000000Z,33,1,13804,4630.000000000,4630.000000000,4630.000000000,4630.000000000,1,MESM4
2023-06-30T14:37:00.000000000Z,33,1,13804,4630.000000000,4630.000000000,4630.000000000,4630.000000000,1,MESM4
2023-07-07T08:49:00.000000000Z,33,1,13804,4590.000000000,4590.000000000,4590.000000000,4590.000000000,1,MESM4
2023-07-10T11:49:00.000000000Z,33,1,13804,4580.750000000,4580.750000000,4580.750000000,4580.750000000,1,MESM4
2023-07-13T19:44:00.000000000Z,33,1,13804,4699.500000000,4699.500000000,4699.500000000,4699.500000000,1,MESM4
2023-07-25T20:14:00.000000000Z,33,1,13804,4760.000000000,4760.000000000,4760.000000000,4760.000000000,1,MESM4
2023-07-27T08:26:00.000000000Z,33,1,13804,4778.000000000,4778.000000000,4778.000000000,4778.000000000,4,MESM4
2023-07-27T17:20:00.000000000Z,33,1,13804,4767.250000000,4767.250000000,4767.250000000,4767.250000000,1,MESM4
2023-08-01T20:52:00.000000000Z,33,1,13804,4768.000000000,4768.000000000,4768.000000000,4768.000000000,1,MESM4
