ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-12-22T14:33:00.000000000Z,33,1,42005347,4974.500000000,4974.500000000,4974.500000000,4974.500000000,1,MESH5
2023-12-27T16:38:00.000000000Z,33,1,42005347,4986.000000000,4986.000000000,4986.000000000,4986.000000000,1,MESH5
2023-12-27T16:46:00.000000000Z,33,1,42005347,4995.500000000,4995.500000000,4995.500000000,4995.500000000,1,MESH5
2024-01-04T14:05:00.000000000Z,33,1,42005347,4915.000000000,4915.000000000,4915.000000000,4915.000000000,2,MESH5
2024-01-04T14:10:00.000000000Z,33,1,42005347,4914.000000000,4914.000000000,4914.000000000,4914.000000000,2,MESH5
2024-01-10T20:43:00.000000000Z,33,1,42005347,4985.500000000,4985.500000000,4985.500000000,4985.500000000,4,MESH5
2024-01-12T16:36:00.000000000Z,33,1,42005347,4980.000000000,4980.000000000,4980.000000000,4980.000000000,5,MESH5
2024-01-12T16:37:00.000000000Z,33,1,42005347,4975.500000000,4975.500000000,4975.500000000,4975.500000000,3,MESH5
2024-01-12T18:12:00.000000000Z,33,1,42005347,4980.000000000,4980.000000000,4980.000000000,4980.000000000,5,MESH5
2024-02-07T17:53:00.000000000Z,33,1,42005347,5195.000000000,5195.000000000,5195.000000000,5195.000000000,1,MESH5
2024-02-13T14:09:00.000000000Z,33,1,42005347,5173.750000000,5173.750000000,5173.750000000,5173.750000000,1,MESH5
2024-02-27T04:25:00.000000000Z,33,1,42005347,5295.000000000,5295.000000000,5295.000000000,5295.000000000,1,MESH5
2024-03-01T16:04:00.000000000Z,33,1,42005347,5340.000000000,5340.000000000,5340.000000000,5340.000000000,3,MESH5
2024-03-01T16:46:00.000000000Z,33,1,42005347,5340.000000000,5340.000000000,5340.000000000,5340.000000000,1,MESH5
2024-03-01T16:52:00.000000000Z,33,1,42005347,5339.000000000,5339.000000000,5339.000000000,5339.000000000,4,MESH5
2024-03-01T17:19:00.000000000Z,33,1,42005347,5340.000000000,5340.000000000,5340.000000000,5340.000000000,3,MESH5
